Support Ticket Output Gpt Subcategory,Zendesk Tickets ID,Zendesk Tickets Subject,Zendesk Comments ID,Zendesk Tickets Ent ID,Zendesk Tickets Root Cause,Zendesk Comments Body
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46402347403033,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Message sent: 2025-05-01 02:17 AM UTC

Name: Katherine Miranda Hudson
Email: katherine.hudson@bluescopesteel.com
Phone: -
Notes: -

IP: 165.225.232.115
User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
Country: Australia
City: Sydney
URL: https://whatfix.com/dashboard-guidance/Bluescope_D365_Lyft/#/contents/design/ready?type=tip&page=0

Chat ID: 2505.2390724.UjuMNYJd6Mj7F

Offline transcript: Hi, I added a smart tip but cannot get it to display in preview mode. I've tried refreshing, editing the smart tip and adjusting the visibility rules but cannot get it to display. Any help would be welcomed. Thanks, Katherine"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46402359290649,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi, I added a smart tip but cannot get it to display in preview mode. I've tried refreshing, editing the smart tip and adjusting the visibility rules but cannot get it to display. Any help would be welcomed. Thanks, Katherine"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46402702432409,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"**Here are the details for this account**

**CSM:** pulkit.saini@whatfix.com
**Account name:** BlueScope_D365
**Region:** ANZ

**Support Package:** Standard
**Support POC:** N/A

**Is DAA:** false
**DAA on the Account:** N/A

**Dashboard:** [Go to dashboard](https://whatfix.com/dashboard-guidance/Bluescope_D365_Lyft)

**Tech Notes:** N/A

**Application access details**

Sandbox : https://bluescope-ssc-presit.sandbox.operations.dynamics.com"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46402737035801,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Katherine,

Thank you for reaching out to the Whatfix Support Team.

Could you please share the name of the Smart-tip you're referring to? This will help us check the details and assist you further.

Regards,
Yashwanth Kore"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46404993604377,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Yashwanth,



Nice to talk to you again. The smart tip I can't see in preview mode is called 'Create Sales Quote - Side Form Tips'.



 ![](https://whatfix.zendesk.com/attachments/token/oJ1dYw0U78JlPjPRYz1EDxIwP/?name=image.png)



What I'm expecting to see when I preview is this smart tip on delivery name:

 ![](https://whatfix.zendesk.com/attachments/token/T293Ygu5UMMcadvPW8xEOFWYJ/?name=image.png)



However, in preview mode, the smart tip is not showing on the delivery name textbox.



 ![](https://whatfix.zendesk.com/attachments/token/qPBmDkG0RV2kPipsBvxZ07AI0/?name=image.png)



Any suggestions would be welcome.



Thanks,

Katherine

* * *

**From:** Yashwanth Kore
**Sent:** Thursday, May 1, 2025 12:25 PM
**To:** Hudson, Katherine
**Subject:** [Whatfix] Re: Offline Message from Katherine Miranda Hudson



Caution

This message came from outside your organization.

Report Suspicious"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46407739764249,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Katherine,

I wanted to let you know that I’ve reselected the smart tip and added the necessary CSS selector. It’s now working as expected.

Please check on your end and let me know if you encounter any issues—I’ll be happy to assist.

Regards,
Yashwanth Kore"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46441777057177,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Yashwanth,



Excellent.



Thank you.



Yours,

Katherine

* * *"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46444266803609,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Katherine,

Thank you for confirming!

I'll close this thread for now. Please feel free to reopen it by replying to this thread or raise a new one with us in case of any issues/concerns.

Regards,
Yashwanth Kore"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46450690917913,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Yashwanth,



Thanks. Said I was happy with the help you've given me.



Thanks,

Katherine

* * *"
Reselection,78788,Offline Message from Katherine Miranda Hudson: added a smart tip but cannot get it to display in preview mode,46451554249369,3ad431a3-352e-4be6-bef3-caff3b50d7f1,I’vereselectedthesmarttipandaddedthenecessaryCSSselector.smarttipnowworkingasexpected.,"Hi Katherine,

Thank you for your kind words! I'm really glad I could help, and I appreciate you taking the time to share your feedback.

Regards,
Yashwanth Kore"
